,weeknumeric,week,KH,date,...5,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,school,C1_Flag,workplace,C2_Flag,publicevent,C3_Flag,gatherings,C4_Flag,publictransport,C5_Flag,stayathome,C6_Flag,internalmovement,C7_Flag,internationaltravel,incomesupport,E1_Flag,debtrelief,fiscalmeasures,E4_International.support,H1_Public.information.campaigns,H1_Flag,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,facialcoverings,H6_Flag,H7_Vaccination.policy,H7_Flag,H8_Protection.of.elderly.people,H8_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,SIForDisplay,StringencyLegacyIndex,SLIForDisplay,GovernmentResponseIndex,GRIForDisplay,ContainmentHealthIndex,CindexForDisplay,EconomicSupportIndex,EstIndexForDisplay,,,,,,,,,,
1,6,6,232,2020-02-09,40,Germany,DEU,NA,NA,NAT_TOTAL,20200209,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,1,1,1,2,0,0,0,NA,0,NA,0,NA,NA,14,0,5,56,5,56,9,52,9,52,11,46,11,46,13,1,13,1,0,0,,
2,7,7,230,2020-02-16,47,Germany,DEU,NA,NA,NAT_TOTAL,20200216,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,0,NA,NA,16,0,11,11,11,11,14,29,14,29,14,58,14,58,16,67,16,67,0,0,,
3,8,8,166,2020-02-23,54,Germany,DEU,NA,NA,NAT_TOTAL,20200223,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,0,NA,NA,16,0,11,11,11,11,14,29,14,29,14,58,14,58,16,67,16,67,0,0,,
4,9,9,186,2020-03-01,61,Germany,DEU,NA,NA,NAT_TOTAL,20200301,2,0,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,1,1,NA,130,0,25,25,34,52,34,52,24,48,24,48,27,98,27,98,0,0,,,,
5,10,10,192,2020-03-08,68,Germany,DEU,NA,NA,NAT_TOTAL,20200308,2,0,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,1,1,NA,1040,0,25,25,34,52,34,52,24,48,24,48,27,98,27,98,0,0,,,,
6,11,11,131,2020-03-15,75,Germany,DEU,NA,NA,NAT_TOTAL,20200315,2,0,0,NA,2,0,1,0,0,NA,1,1,0,NA,1,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,1,1,NA,5795,11,32,87,32,87,41,67,41,67,28,91,28,91,33,4,33,4,0,0,,
7,12,12,131,2020-03-22,82,Germany,DEU,NA,NA,NAT_TOTAL,20200322,3,1,2,1,2,1,4,1,0,NA,2,0,2,0,4,2,0,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,1,NA,24873,94,76,85,76,85,77,38,77,38,59,37,59,37,62,5,62,5,37,5,37,5
8,13,13,82,2020-03-29,89,Germany,DEU,NA,NA,NAT_TOTAL,20200329,3,1,2,1,2,1,4,1,0,NA,2,0,2,0,4,2,0,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,1,NA,62095,533,76,85,76,85,77,38,77,38,59,37,59,37,62,5,62,5,37,5,37,5
9,14,14,77,2020-04-05,96,Germany,DEU,NA,NA,NAT_TOTAL,20200405,3,1,2,1,2,1,4,1,0,NA,2,0,2,0,4,2,0,1,0,0,2,1,1,1,0,0,1,1,0,NA,3,1,NA,100123,1584,76,85,76,85,77,38,77,38,64,6,64,6,64,29,64,29,62,5,62,5
10,15,15,113,2020-04-12,103,Germany,DEU,NA,NA,NAT_TOTAL,20200412,3,1,2,1,2,1,4,1,0,NA,2,0,2,0,4,2,0,1,0,0,2,1,1,1,0,0,2,0,0,NA,3,1,NA,127854,3022,76,85,76,85,77,38,77,38,64,84,64,84,65,18,65,18,62,5,62,5
